new_smiles,Best_Predicted_Y,y_true,Al/M,T,P,t,metal,SPS,Kappa2,EState_VSA7,SlogP_VSA3,MolLogP,NumHeteroatoms,Ipc,fr_halogen,EState_VSA11,Kappa1,Chi2v,NumRotatableBonds,EState_VSA5,Chi0,SMR_VSA9,EState_VSA9,VSA_EState9,SMR_VSA6,Chi3n,Phi,SlogP_VSA2,TPSA,EState_VSA1,EState_VSA4,Chi0n,Chi0v,fr_aryl_methyl,VSA_EState8,EState_VSA6,PEOE_VSA14,LabuteASA,VSA_EState10,EState_VSA8,SlogP_VSA11,VSA_EState4,VSA_EState7,SMR_VSA10,Chi4n,SlogP_VSA1,fr_bicyclic,NumValenceElectrons,Chi1v,Chi3v,SMR_VSA7,SlogP_VSA4,SlogP_VSA12,VSA_EState5,EState_VSA10,Chi1,MolWt,ExactMolWt,HeavyAtomMolWt,Kappa3,MinEStateIndex,SMR_VSA3,NumAromaticCarbocycles,fr_benzene,BertzCT,Chi4v,SlogP_VSA5,SlogP_VSA8,SMR_VSA5,VSA_EState6,MolMR,SMR_VSA4,SlogP_VSA10,EState_VSA3,Chi1n,SlogP_VSA6,VSA_EState1,Chi2n,SMR_VSA1,EState_VSA2,SlogP_VSA7,HeavyAtomCount,MaxAbsEStateIndex,MaxEStateIndex,RingCount,NumAromaticRings,HallKierAlpha,fr_para_hydroxylation,fr_Ar_N,NumAliphaticCarbocycles,NumAliphaticRings,NumSaturatedCarbocycles,NumSaturatedRings,NumAromaticHeterocycles,NumHeterocycles,NumHAcceptors,VSA_EState3,NumBridgeheadAtoms,VSA_EState2,fr_pyridine,fr_NH0,NumSpiroAtoms,NOCount,FpDensityMorgan3,fr_unbrch_alkane,MinAbsEStateIndex,fr_imidazole,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,FpDensityMorgan2,AvgIpc,fr_oxazole,NHOHCount,NumHDonors,fr_Ar_NH,fr_NH1,fr_Nhpyrrole,FractionCSP3,BalabanJ,FpDensityMorgan1,qed
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(cccc2Cc2cc(C)ccc2C)C=[N+]1c1ccccc1,1.024650622020007,14057.35887,9400,30,8,1,40,18.627906976744185,9.756223266096171,96.3305640621486,22.793502889636063,9.406759999999998,7,5299403997.604924,2,0,28.284001200722408,32.25427678784623,4,16.690354475090988,29.88436453840613,11.49902366656781,22.65206876591317,16.53086881666247,0,8.388262173522076,6.417326292390234,17.46779217214765,24.48,16.372681266710057,33.62857851615511,24.298315152114792,28.268212935701506,3,6.299987509527472,0,260.7635063853533,258.63681699289884,-6.966189291,57.16941400984153,11.49902366656781,8.991316171125103,4.642554165252469,40.82968764750061,6.1843420936524165,5.626354826850316,2,216,24.966953301423874,24.31919302738878,154.20513474264956,20.771211599071872,17.025713939062857,1.2013444670542437,0,20.57876456868225,686.7940000000001,684.088788,654.5379999999999,4.523047514665688,-6.966189291,0,5,5,2005.470685483945,21.66129711933396,38.94416044187897,0,27.19203322199788,38.41095330558443,172.3617999999996,0,11.374772549367124,17.91984528949382,14.431194959134748,115.26097430077064,18.218053744646006,11.623488435088667,27.03762710663739,0,0,43,8.265434408331235,8.265434408331235,7,5,-3.496883117,3,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.8604651162790693,0,0.5738629435806564,0,0,0,1.186046511627907,2.994679655936016,0,0,0,0,0,0,0.1111111111111111,1.558022617493943,0.5813953488372093,0.1882883720949754
CC(C)c1cccc(Cc2cccc3c2C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[O]3)c1C(C)C,0.9896619550465536,8669.054441,9400,30,8,1,40,18.43478260869565,11.048003506060638,108.31506468799812,22.793502889636063,10.72829999999999,7,21731308364.09947,2,0,31.120238050396537,33.54378331966356,6,16.690354475090988,32.16882158878231,11.49902366656781,22.65206876591317,16.458246649712493,0,9.094151726519517,7.474271719352666,17.46779217214765,24.48,16.372681266710057,34.48594864738412,26.530365959683667,30.500263743270388,0,9.07436910974309,0,280.0259712541313,277.7316433360886,-6.931708035,58.17501765214425,11.49902366656781,8.528643176016761,4.755276308054086,40.82968764750061,7.022042851672945,5.626354826850316,2,234,26.44900410899276,25.06389271377225,154.7080503194142,0,17.025713939062857,1.9709461065688407,0,22.02312167601642,728.8749999999999,726.1357382160002,690.5709999999996,4.906090976270977,-6.931708035,0,5,5,2055.835415503995,22.45056594345384,72.91146984126725,0,45.95158251401129,40.37479125932193,186.32879999999943,0,11.374772549367124,23.3348357588906,15.913245766703628,121.32734136923226,18.09832431457432,12.912994966906004,27.03762710663739,0,0,46,8.229123324856246,8.229123324856246,7,5,-3.496883117,3,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.7608695652173914,0,0.3853256326156684,0,0,0,1.108695652173913,3.039748179126102,0,0,0,0,0,0,0.1794871794871795,1.5086140469554246,0.5652173913043478,0.1738978534611225
CC(C)(C)c1ccccc1C1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]c2ccccc21,0.9885820989247844,8540.68282,9400,30,8,1,40,19.232558139534884,9.499502336330512,114.38143175645976,21.78767173610684,9.606699999999996,7,5182961260.195251,2,0,28.284001200722404,32.70024876356754,3,0,29.936770781213426,11.49902366656781,22.65206876591317,16.83168808264046,0,8.1702061541612,6.248463615977617,16.964876595383036,24.48,16.372681266710057,39.34026351892581,24.24590890930749,28.215806692894216,0,6.64656919249181,0,260.76350638535325,258.6368169928988,-7.13009127,51.10304694137992,11.49902366656781,6.015131945975768,1.9749103599773243,40.326772070736,6.317954614989849,5.626354826850316,2,216,24.94854542193275,24.045822072450388,155.71388147294346,0,17.025713939062857,1.115699549109768,0,20.53606923866394,686.794,684.088788,654.5379999999999,4.278611199960173,-7.13009127,0,5,5,1973.9753998960475,22.837432392730417,43.025017565859855,0,26.186202068468653,43.98196263599282,172.08979999999954,0,11.374772549367124,11.49902366656781,14.41278707964362,133.46007550615548,18.30968505920887,12.15448915287121,27.03762710663739,5.41499046939678,0,43,8.41584404132023,8.41584404132023,7,5,-3.496883117,4,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.744186046511628,0,0.1892274712787889,0,0,0,1.069767441860465,2.997261053229175,0,0,0,0,0,0,0.1111111111111111,1.751683854714433,0.5581395348837209,0.1889231773255798
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccc(-c2ccc(F)cc2)cc1,0.9767398881275694,7251.691644,9400,55,10,1,40,18.52272727272728,9.714463867051938,92.83630738737403,16.372681266710057,9.930479999999994,8,6728784697.618242,3,0,29.16109037910394,32.48935228901159,3,12.13273413692322,30.91774473322574,22.6259266499618,22.65206876591317,16.50051433966778,0,8.386563541484414,6.438280882082753,17.46779217214765,24.48,16.372681266710057,50.19499820825953,24.81447230555822,28.78437008914494,4,8.08633643191225,12.13273413692322,264.90477520561245,262.8023523958251,-7.033219651,31.18920547353706,11.49902366656781,8.896804614276123,3.92580506383835,40.82968764750061,6.453738306745954,5.626354826850316,2,222,25.020195961787856,24.27868426196509,142.32616995507527,33.51216963980839,17.025713939062857,0.884321063605815,4.39041504767482,20.883295021322564,704.7840000000001,702.0793662,673.5359999999998,4.41589692325481,-7.033219651,0,5,5,2067.141666767399,22.08213230961852,33.380708950181976,11.126902983393991,27.694948798762496,32.21067707571196,173.24479999999957,0,15.765187597041944,17.186409941251373,14.484437619498737,103.1282401638474,31.690983284595667,11.858563936254022,31.42804215431221,5.817220841045895,0,44,13.6382970109994,13.6382970109994,7,5,-3.566883117,1,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.4772727272727273,0,0.2814718958808124,0,0,0,1,2.98623028793205,0,0,0,0,0,0,0.1111111111111111,1.5592321739184123,0.5681818181818182,0.1868738474444132
Cc1c(C)c(C)c(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]C2)[O]c2ccccc2C=[N+]3c2ccccc2)c(C)c1C,0.9675977579717236,6391.260921,9400,60,8,1,40,23.51219512195122,9.219361022588805,96.1823305510749,24.600849149532,8.980200000000004,7,1252773089.6003337,2,0,28.55752895740747,32.6205287449847,3,33.380708950181976,29.271480363283764,5.749511833283905,22.65206876591317,16.297103384563698,6.606881964512918,9.203353387224908,6.42151632613106,24.074674136660565,24.48,21.78767173610684,16.93822404106412,24.41156380616666,28.38146158975338,0,13.438921439341309,0,251.0544216198169,249.03949124442124,-6.779264274,47.75702377767905,5.749511833283905,9.52311711612274,4.151931321911481,40.82968764750061,6.651087151156992,2.813177413425158,1,212,24.55521649010165,25.79328911741692,123.87329940034157,34.61868599845312,17.025713939062857,0.591852972798139,0,19.3302675372765,666.804,664.1200882,630.5159999999998,4.074540231941706,-6.779264274,0,4,4,1771.6515358241363,22.284438048070243,45.86789764156959,0,46.95741366754052,27.654644891490896,166.16179999999952,0,11.374772549367124,5.749511833283905,14.019458147812516,84.92913895846256,18.03391537016041,11.781910687503167,27.03762710663739,6.606881964512918,0,41,8.148551692281849,8.148551692281849,6,4,-2.556883117,3,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.7317073170731707,0,0.2397635582010588,0,1,1,1.146341463414634,2.9706772341080847,0,0,0,0,0,0,0.2352941176470588,1.7409530298403784,0.6585365853658537,0.2181514562870184
CC(C)c1cccc(C(C)C)c1C1C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]C1)[O]c1ccccc1C=[N+]2c1ccccc1,0.9591959260601266,5690.829267,9400,30,8,1,40,21.902439024390244,10.021342234154249,96.1823305510749,19.18585868013521,9.510799999999998,7,1586870761.0251944,2,0,28.55752895740747,32.511398974199906,5,16.690354475090988,28.892800706843406,5.749511833283905,22.65206876591317,16.24778582626466,6.606881964512918,8.226485778031229,6.9801163669256185,24.074674136660565,24.48,16.372681266710057,16.93822404106412,23.87566542130442,27.84556320489113,0,9.22350536511326,0,251.05442161981688,249.0394912444212,-6.739650293,52.10865058368263,5.749511833283905,6.344906729148145,4.151087700512304,40.82968764750061,6.247616150765048,2.813177413425158,1,212,24.82401301,24.920398692333173,125.38204613063542,0,17.025713939062857,1.1685696799125722,0,19.556795180827635,666.8040000000001,664.1200882,630.5159999999998,4.5707833661499695,-6.739650293,0,4,4,1674.3369809274404,21.728547932873123,67.70247290403465,0,45.44866693724667,34.2968451935061,166.0437999999995,0,11.374772549367124,17.58532392560669,14.288254662820863,103.1282401638474,17.969172020660118,11.672780916718372,27.03762710663739,12.52478801067431,0,41,8.12389291313233,8.12389291313233,6,4,-2.556883117,3,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.804878048780488,0,0.100787246997565,0,1,1,1.2195121951219512,2.9682571974243905,0,0,0,0,0,0,0.2352941176470588,1.697080156482651,0.6829268292682927,0.2120379156621901
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(cccc2Cc2cccc(C(C)C)c2C(C)C)C=[N+]1c1ccccc1,0.9581573541437493,5609.757978,9400,30,8,1,40,18.31914893617021,11.296835771623806,90.264196993687,22.793502889636063,11.036719999999988,7,31010303085.723625,2,0,32.069843748515645,34.053777685144965,6,16.690354475090988,33.039065076785384,11.49902366656781,22.65206876591317,16.714896296851563,0,9.313134143005788,7.708250171247184,17.46779217214765,24.48,16.372681266710057,33.62857851615511,27.45301569049404,31.42291347408076,1,11.105150050210074,0,286.4467928770573,284.09658545048524,-7.02470925,77.08325547768438,11.49902366656781,9.391373138101262,4.6739331486895335,40.82968764750061,7.188254202214337,5.626354826850316,2,240,26.85968771151571,25.24406499687249,154.20513474264956,6.923737199690624,17.025713939062857,1.979450590875716,0,22.41696852613377,742.902,740.1513883,702.5819999999998,5.226491663403417,-7.02470925,0,5,5,2106.359270327688,22.665209227895875,78.47492133296424,0,52.87531971370191,38.72998894365743,191.06579999999948,0,11.374772549367124,29.755657381816604,16.323929369226587,115.26097430077064,18.425472636981024,13.42298933238742,27.03762710663739,0,0,47,8.357448148425782,8.357448148425782,7,5,-3.496883117,3,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.8297872340425527,0,0.3590270474101107,0,0,0,1.2127659574468086,3.0485401731682664,0,0,0,0,0,0,0.2,1.5287311251475824,0.6170212765957447,0.1730371706759
CC(C)c1cccc(C(C)C)c1C1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]c1ccccc1C=[N+]2c1ccccc1,0.9557497177586896,5426.231355,9400,30,8,1,40,20.341463414634145,10.021342234154249,93.6630350445364,19.18585868013521,9.535599999999995,7,1570631131.1961577,2,0,28.55752895740747,32.33169019049788,5,16.690354475090988,28.892800706843403,5.749511833283905,22.65206876591317,16.570698223733935,6.606881964512918,8.163650398146748,6.9801163669256185,23.57175855989595,24.48,16.372681266710057,22.64990904383482,23.928071664111712,27.89796944769843,0,9.250154189762323,0,251.0544216198169,249.0394912444212,-6.860807143,48.41334551068583,5.749511833283905,7.201645185605108,2.625838372385992,40.326772070736,6.322794586337568,2.813177413425158,1,212,24.86271754531408,24.92025187031448,125.38204613063542,0,17.025713939062857,1.1655617936389946,0,19.573631933233244,666.8040000000001,664.1200882,630.5159999999997,4.481983364357025,-6.860807143,0,4,4,1689.2110704873105,23.13510823187116,68.20538848079927,0,45.95158251401129,34.481846861983755,165.9647999999995,0,11.374772549367124,18.77721542072284,14.326959203024948,103.1282401638474,18.0606180713026,11.578100875077585,27.03762710663739,11.835812092322788,0,41,8.285349111866967,8.285349111866967,6,4,-2.556883117,3,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.853658536585366,0,0.2817207011362854,0,0,0,1.2439024390243902,2.961491037770058,0,0,0,0,0,0,0.2352941176470588,1.834990033870669,0.6829268292682927,0.2120246712959085
CC(C)c1cccc(-c2cccc3c2C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]3)c1C(C)C,0.9551461727439402,5381.174016,9400,30,8,1,40,20.09756097560976,10.021342234154249,84.04959641415168,19.18585868013521,9.784099999999995,7,1578681597.9915135,2,0,28.55752895740747,32.40243321393253,5,16.690354475090988,28.89280070684341,16.876414816677897,22.65206876591317,16.026650831998953,6.606881964512918,8.144284814761036,6.9801163669256185,24.074674136660565,24.48,16.372681266710057,22.50167553276112,23.928071664111712,27.89796944769843,0,9.352934877933125,0,251.0544216198169,249.03949124442124,-6.634215599,58.17501765214425,5.749511833283905,7.478403882551318,4.736316364755565,40.82968764750061,6.349366478444198,2.813177413425158,1,212,24.86867120384852,25.012621384968963,113.7522275704768,0,17.025713939062857,1.3429561560623084,0,19.573631933233244,666.804,664.1200881520001,630.5159999999998,4.481983364357025,-6.634215599,0,4,4,1715.706182985147,22.18289389067052,62.64193698910226,11.126902983393991,45.95158251401129,32.54002905042317,166.91379999999953,0,11.374772549367124,30.613027513045623,14.332912861559384,97.0618730953858,17.652479990848498,11.563815156451014,27.03762710663739,0,0,41,8.013325415999477,8.013325415999477,6,4,-2.556883117,2,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.9268292682926829,0,0.3359174215025187,0,0,0,1.2926829268292683,2.9618260023270606,0,0,0,0,0,0,0.2352941176470588,1.6958347344185063,0.6829268292682927,0.2119189362713344
CC(C)(C)c1ccccc1-c1ccccc1[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.9505102567508112,5047.328143,9400,30,8,1,40,19,9.49950233633052,114.52966526753345,21.78767173610684,9.855199999999996,7,5127981491.64108,2,0,28.284001200722408,32.823628810913306,3,5.563451491696996,29.936770781213426,22.6259266499618,22.65206876591317,16.56664405216819,0,8.210791766305109,6.248463615977622,17.46779217214765,24.48,16.372681266710057,33.62857851615511,24.2459089093075,28.215806692894216,0,6.667946818776995,0,260.7635063853533,258.63681699289884,-7.011128534,51.10304694137992,11.49902366656781,6.381168430868675,3.9568542139077856,40.82968764750061,6.205617801920409,5.626354826850316,2,216,24.93847931519141,24.138018382527232,144.08406291278484,0,17.025713939062857,1.1152500629881588,0,20.519232486258336,686.794,684.088788,654.5379999999997,4.357840771595373,-7.011128534,0,5,5,1988.4705123938843,21.62774061142784,37.46156607416286,11.126902983393991,26.186202068468653,42.05444074700197,173.03879999999955,0,11.374772549367124,11.49902366656781,14.402720972902284,127.39370843769387,18.014379763479468,12.19284045815575,27.03762710663739,5.41499046939678,0,43,8.283322026084095,8.283322026084095,7,5,-3.496883117,4,0,0,2,0,0,0,2,2,0,0,0,0,2,1,4,1.6511627906976745,0,0.1109119767818365,0,0,0,1.0232558139534884,2.997063117479977,0,0,0,0,0,0,0.1111111111111111,1.6235206253916674,0.5348837209302325,0.1888397941725133
